Strain,Type,Titer,Source
PP_0368,CRISPRi,246.3242,DBTL_0
PP_0368,CRISPRi,236.6698,DBTL_0
PP_0368,CRISPRi,227.0476,DBTL_0
PP_0751,CRISPRi,214.10044,DBTL_0
PP_0751,CRISPRi,212.71467,DBTL_0
PP_0751,CRISPRi,206.26133,DBTL_0
PP_0812,CRISPRi,252.7312,DBTL_0
PP_0812,CRISPRi,249.00007,DBTL_0
PP_0812,CRISPRi,231.1432,DBTL_0
PP_0812-15,CRISPRi,,
PP_0813,CRISPRi,222.43527,DBTL_0
PP_0813,CRISPRi,216.197,DBTL_0
PP_0813,CRISPRi,197.1834,DBTL_0
PP_0814,CRISPRi,345.55767,DBTL_0
PP_0814,CRISPRi,306.44507,DBTL_0
PP_0814,CRISPRi,285.185,DBTL_0
PP_0815,CRISPRi,272.805,DBTL_0
PP_0815,CRISPRi,255.54267,DBTL_0
PP_0815,CRISPRi,248.58573,DBTL_0
PP_1317,CRISPRi,153.2682,DBTL_0
PP_1317,CRISPRi,152.23527,DBTL_0
PP_1317,CRISPRi,150.87167,DBTL_0
PP_2136,CRISPRi,235.8306,DBTL_0
PP_2136,CRISPRi,234.2294,DBTL_0
PP_2136,CRISPRi,232.3398,DBTL_0
PP_4120,CRISPRi,164.54044,DBTL_0
PP_4120,CRISPRi,162.44,DBTL_0
PP_4120,CRISPRi,159.00889,DBTL_0
PP_4189,CRISPRi,321.20247,DBTL_0
PP_4189,CRISPRi,283.2782,DBTL_0
PP_4189,CRISPRi,269.70547,DBTL_0
PP_4191,CRISPRi,367.47564,DBTL_0
PP_4191,CRISPRi,358.72587,DBTL_0
PP_4191,CRISPRi,349.11636,DBTL_0
PP_0368,Target,228.226,September
PP_0368,Target,222.429,September
PP_0368,Target,224.9668,September
PP_0751,Target,287.4712,September
PP_0751,Target,314.1185,September
PP_0751,Target,220.3692,September
PP_0812,Target,325.5487,September
PP_0812,Target,329.0498,September
PP_0812,Target,334.7021,September
PP_0812-15,Target,510.9244,September
PP_0812-15,Target,538.4633,September
PP_0812-15,Target,589.4584,September
PP_0813,Target,399.4451,September
PP_0813,Target,392.9578,September
PP_0813,Target,402.9973,September
PP_0814,Target,304.035,September
PP_0814,Target,287.5533,September
PP_0814,Target,297.3073,September
PP_0815,Target,422.4448,January
PP_0815,Target,495.3173,January
PP_0815,Target,464.3335,January
PP_1317,Target,135.4253,September
PP_1317,Target,116.9002,September
PP_1317,Target,140.1178,September
PP_2136,Target,315.2101,November
PP_2136,Target,354.6784,November
PP_2136,Target,351.6181,November
PP_4120,Target,206.0419,September
PP_4120,Target,206.8461,September
PP_4120,Target,230.9106,September
PP_4189,Target,305.9202,September
PP_4189,Target,313.085,September
PP_4189,Target,328.6474,September
PP_4191,Target,7.3117,November
PP_4191,Target,5.9466,November
PP_4191,Target,5.4266,November
PP_0368,Non-target,191.872,September
PP_0368,Non-target,167.367,September
PP_0368,Non-target,172.4886,September
PP_0751,Non-target,238.133,September
PP_0751,Non-target,362.4014,September
PP_0751,Non-target,303.7573,September
PP_0812,Non-target,336.1871,September
PP_0812,Non-target,299.4838,September
PP_0812,Non-target,292.5602,September
PP_0812-15,Non-target,332.5798,September
PP_0812-15,Non-target,332.0093,September
PP_0812-15,Non-target,332.6969,September
PP_0813,Non-target,412.9922,September
PP_0813,Non-target,389.6801,September
PP_0813,Non-target,393.3061,September
PP_0814,Non-target,296.4604,September
PP_0814,Non-target,290.0816,September
PP_0814,Non-target,292.3528,September
PP_0815,Non-target,298.0681,January
PP_0815,Non-target,309.4453,January
PP_0815,Non-target,293.9713,January
PP_1317,Non-target,94.0828,September
PP_1317,Non-target,92.3217,September
PP_1317,Non-target,96.0542,September
PP_2136,Non-target,332.0178,November
PP_2136,Non-target,308.0843,November
PP_2136,Non-target,297.0437,November
PP_4120,Non-target,205.2649,September
PP_4120,Non-target,203.9816,September
PP_4120,Non-target,200.8838,September
PP_4189,Non-target,312.9791,November
PP_4189,Non-target,325.632,November
PP_4189,Non-target,313.1991,November
PP_4191,Non-target,8.1263,November
PP_4191,Non-target,6.8766,November
PP_4191,Non-target,11.3554,November
