Line Name,Screen,Guide,Value,Units
KOs_PP_0368,KO,Target,191.872,mg/L
KOs_PP_0751,KO,Target,238.133,mg/L
KOs_PP_0812,KO,Target,336.1871,mg/L
KOs_PP_0813,KO,Target,412.9922,mg/L
KOs_PP_0814,KO,Target,296.4604,mg/L
KOs_PP_1317,KO,Target,94.0828,mg/L
Control,KO,Non-Target,160.5556,mg/L
KOs_PP_0368,KO,Target,167.367,mg/L
KOs_PP_0751,KO,Target,362.4014,mg/L
KOs_PP_0812,KO,Target,299.4838,mg/L
KOs_PP_0813,KO,Target,389.6801,mg/L
KOs_PP_0814,KO,Target,290.0816,mg/L
KOs_PP_1317,KO,Target,92.3217,mg/L
Control,KO,Non-Target,138.7685,mg/L
KOs_PP_0368,KO,Target,172.4886,mg/L
KOs_PP_0751,KO,Target,303.7573,mg/L
KOs_PP_0812,KO,Target,292.5602,mg/L
KOs_PP_0813,KO,Target,393.3061,mg/L
KOs_PP_0814,KO,Target,292.3528,mg/L
KOs_PP_1317,KO,Target,96.0542,mg/L
Control,KO,Non-Target,150.1737,mg/L
KOs_PP_0368,KO,Non-Target,228.226,mg/L
KOs_PP_0751,KO,Non-Target,287.4712,mg/L
KOs_PP_0812,KO,Non-Target,325.5487,mg/L
KOs_PP_0813,KO,Non-Target,399.4451,mg/L
KOs_PP_0814,KO,Non-Target,304.035,mg/L
KOs_PP_1317,KO,Non-Target,135.4253,mg/L
Control_,KO,Non-Target,156.1927,mg/L
KOs_PP_0368,KO,Non-Target,222.429,mg/L
KOs_PP_0751,KO,Non-Target,314.1185,mg/L
KOs_PP_0812,KO,Non-Target,329.0498,mg/L
KOs_PP_0813,KO,Non-Target,392.9578,mg/L
KOs_PP_0814,KO,Non-Target,287.5533,mg/L
KOs_PP_1317,KO,Non-Target,116.9002,mg/L
Control_,KO,Non-Target,145.9214,mg/L
KOs_PP_0368,KO,Non-Target,224.9668,mg/L
KOs_PP_0751,KO,Non-Target,220.3692,mg/L
KOs_PP_0812,KO,Non-Target,334.7021,mg/L
KOs_PP_0813,KO,Non-Target,402.9973,mg/L
KOs_PP_0814,KO,Non-Target,297.3073,mg/L
KOs_PP_1317,KO,Non-Target,140.1178,mg/L
Control_,KO,Non-Target,159.4057,mg/L
KOs_PP_4120_,KO,Target,205.2649,mg/L
Control_,KO,Non-Target,127.6855,mg/L
KOs_PP_4120_,KO,Target,203.9816,mg/L
Control_,KO,Non-Target,126.062,mg/L
KOs_PP_4120_,KO,Target,200.8838,mg/L
Control_,KO,Non-Target,132.4897,mg/L
KOs_PP_4120,KO,Non-Target,206.0419,mg/L
Control_,KO,Non-Target,142.5614,mg/L
KOs_PP_4120,KO,Non-Target,206.8461,mg/L
Control_,KO,Non-Target,164.2308,mg/L
KOs_PP_4120,KO,Non-Target,230.9106,mg/L
Control_,KO,Non-Target,155.3421,mg/L
Control-R1,dCas9,Target,177.337,mg/L
Control-R10,dCas9,Target,176.1350667,mg/L
Control-R11,dCas9,Target,192.6371333,mg/L
Control-R12,dCas9,Target,202.7048,mg/L
Control-R13,dCas9,Target,123.8465333,mg/L
Control-R14,dCas9,Target,177.1856,mg/L
Control-R15,dCas9,Target,168.0272,mg/L
Control-R16,dCas9,Target,150.8906667,mg/L
Control-R17,dCas9,Target,197.7911333,mg/L
Control-R18,dCas9,Target,184.3109333,mg/L
Control-R2,dCas9,Target,181.8837333,mg/L
Control-R3,dCas9,Target,169.4058,mg/L
Control-R4,dCas9,Target,161.6762,mg/L
Control-R5,dCas9,Target,136.4298667,mg/L
Control-R6,dCas9,Target,162.3184667,mg/L
Control-R7,dCas9,Target,162.1252667,mg/L
Control-R8,dCas9,Target,165.5256,mg/L
Control-R9,dCas9,Target,165.5533333,mg/L
PP_0368,dCas9,Target,227.0476,mg/L
PP_0368,dCas9,Target,246.3242,mg/L
PP_0368,dCas9,Target,236.6698,mg/L
PP_0751,dCas9,Target,212.7146667,mg/L
PP_0751,dCas9,Target,214.1004444,mg/L
PP_0751,dCas9,Target,206.2613333,mg/L
PP_0812,dCas9,Target,231.1432,mg/L
PP_0812,dCas9,Target,224.5483333,mg/L
PP_0812,dCas9,Target,252.7312,mg/L
PP_0812,dCas9,Target,251.6862667,mg/L
PP_0812,dCas9,Target,255.5218667,mg/L
PP_0812,dCas9,Target,249.0000667,mg/L
PP_0813,dCas9,Target,256.7417333,mg/L
PP_0813,dCas9,Target,216.197,mg/L
PP_0813,dCas9,Target,359.9358667,mg/L
PP_0813,dCas9,Target,197.1834,mg/L
PP_0813,dCas9,Target,354.3337333,mg/L
PP_0813,dCas9,Target,222.4352667,mg/L
PP_0814,dCas9,Target,306.4450667,mg/L
PP_0814,dCas9,Target,285.185,mg/L
PP_0814,dCas9,Target,345.5576667,mg/L
PP_1317,dCas9,Target,150.8716667,mg/L
PP_1317,dCas9,Target,153.2682,mg/L
PP_1317,dCas9,Target,152.2352667,mg/L
PP_4120,dCas9,Target,164.5404444,mg/L
PP_4120,dCas9,Target,162.44,mg/L
PP_4120,dCas9,Target,159.0088889,mg/L
